"idetudiant";"nom";"prenom";"civilite";"date_naissance";"lieu_naissance";"dept_naissance";"nationalite";"email";"emailperso";"domicile";"codepostaldomicile";"villedomicile";"paysdomicile";"telephone";"telephonemobile";"typeadresse";"boursier";"idadmission";"anneeadmission";"bac";specialite;"annee_bac";"math";"physique";"anglais";"francais";codelycee;"nomlycee";"villelycee";"codepostallycee"
151;Louis;Cédric;M;1998-04-28;Montpellier;Hérault;France;cédric.louis@etu.umontpellier.fr;cédric.louis@gmail.com;"7 Rue Hector Berlioz";"34500";Béziers;France;"06.00.69.31.88";"06.99.83.61.47";domicile;false;20;2016;S;SI;2016;12.575;13.47;;;"0240026Y";Lycée Albert Claveille;Périgueux;"24"
134;Legrand;Esteban;M;1997-09-01;Montpellier;Hérault;France;esteban.legrand@etu.umontpellier.fr;esteban.legrand@gmail.com;"110 Rue de l'Olivette";"34980";Saint-Clément-de-Rivière;France;"06.29.21.66.58";"06.36.12.00.71";domicile;true;54;2016;STI2D;SIN;2016;;;;;"0110023R";Lycée polyvalent Louise Michel;Narbonne;"11"
150;Leroux;Yanis;M;1998-07-14;Montpellier;Hérault;France;yanis.leroux@etu.umontpellier.fr;yanis.leroux@gmail.com;"10 Avenue des Pins";"34140";Mèze;France;"06.50.03.47.88";"06.87.97.54.54";domicile;false;22;2016;S;SI/ISN;2016;12.35;13.31;;;"9741050Y";Lycée Louis Payen;Saint-Paul;"974"
100;Prevot;Noë;M;1998-05-30;Montpellier;Hérault;France;noë.prevot@etu.umontpellier.fr;noë.prevot@gmail.com;"7 Place Frédéric Mistral";"34130";Saint-Aunès;France;"06.81.22.37.04";"06.05.81.21.64";domicile;false;7;2016;STI2D;SIN;2016;;;;;"0300125Y";Lycée De La Salle;Alès;"30"
59;Jung;Pierre;M;1998-06-08;Montpellier;Hérault;France;pierre.jung@etu.umontpellier.fr;pierre.jung@gmail.com;"2BIS Rue Ricciotti";"34500";Béziers;France;"06.42.01.21.97";"06.09.92.73.24";domicile;false;23;2016;S;SVT/MATHS;2016;16.0;15.94;;;"0340038G";Lycée Joffre;Montpellier;"34"
101;Leconte;Jérémy;M;1998-09-04;Montpellier;Hérault;France;jérémy.leconte@etu.umontpellier.fr;jérémy.leconte@gmail.com;"6 Rue de Metz";"34500";Béziers;France;"06.96.70.02.63";"06.97.81.87.85";domicile;false;24;2016;STI2D;SIN;2016;;;;;"0300125Y";Lycée De La Salle;Alès;"30"
12;Leroy;Jeanne;F;1998-04-09;Montpellier;Hérault;France;jeanne.leroy@etu.umontpellier.fr;jeanne.leroy@gmail.com;"11 Square Vincent Scotto";"34500";Béziers;France;"06.12.24.89.64";"06.22.49.53.34";domicile;false;25;2016;S;SI;2016;10.285;13.05;;;"0340002T";Lycée Auguste Loubatières;Agde;"34"
104;Francois;Esteban;M;1998-06-14;Montpellier;Hérault;France;esteban.francois@etu.umontpellier.fr;esteban.francois@gmail.com;"9 Rue de la Ville";"34320";Fontès;France;"06.78.77.28.25";"06.62.11.71.34";domicile;false;27;2016;S;SVT/ISN;2016;11.39;10.81;;;"0840003X";Lycée Frédéric Mistral;Avignon;"84"
152;Poisson;Mohamed;M;1998-07-09;Montpellier;Hérault;France;mohamed.poisson@etu.umontpellier.fr;mohamed.poisson@gmail.com;"22 Boulevard Saint-Saëns";"34350";Valras-Plage;France;"06.00.17.99.27";"06.95.98.05.78";domicile;false;28;2016;S;SVT/MATHS;2016;12.5;13.65;;;"0300021K";Lycée Alphonse DAUDET;Nîmes;"30"
146;Bouvet;Dimitri;M;1996-04-20;Montpellier;Hérault;France;dimitri.bouvet@etu.umontpellier.fr;dimitri.bouvet@gmail.com;"14 rue du Polymorphisme";"66820";Vernet-Les-Bains;France;"06.54.98.95.48";"";parents;false;5;2016;STI2D;SIN;2015;;11.2;;;"0342090M";Lycée Victor Hugo;Lunel;"34"
87;Allard;Émile;M;1997-05-20;Montpellier;Hérault;France;émile.allard@etu.umontpellier.fr;émile.allard@gmail.com;"16 Avenue du Maréchal Marie-Pierre Koenig";"34470";Pérols;France;"06.85.11.63.98";"06.72.90.07.39";domicile;false;128;2016;STI;;2015;16.8333;14.81;;;"0342321N";Université de Montpellier;Montpellier;"34"
107;Vallee;Evan;M;1998-07-13;Montpellier;Hérault;France;evan.vallee@etu.umontpellier.fr;evan.vallee@gmail.com;"9 Rue des Amandiers";"34490";Lignan-sur-Orb;France;"06.70.14.00.01";"06.01.13.90.95";domicile;true;30;2016;S;SVT/ISN;2016;14.205;12.21;;;"0341794R";Lycée Jean-Francois Champollion;Lattes;"34"
108;Bazin;Davy;M;1998-11-03;Montpellier;Hérault;France;davy.bazin@etu.umontpellier.fr;davy.bazin@gmail.com;"590 Rue Georges Cuvier";"34090";Montpellier;France;"06.88.60.80.56";"06.66.53.81.64";domicile;true;31;2016;S;SVT/ISN;2016;15.5;13.68;;;"0340040J";Lycée Jules Guesde;Montpellier;"34"
109;Pruvost;Davy;M;1999-04-17;Montpellier;Hérault;France;davy.pruvost@etu.umontpellier.fr;davy.pruvost@gmail.com;"19 Avenue de l'Europe";"34110";Frontignan;France;"06.47.03.12.58";"06.39.62.65.86";domicile;false;32;2016;S;SVT/MATHS;2016;17.35;13.39;;;"0342175E";Lycée La Merci Littoral;La Grande-Motte;"34"
106;Fortin;Guillaume;M;1998-10-02;Montpellier;Hérault;France;guillaume.fortin@etu.umontpellier.fr;guillaume.fortin@gmail.com;"5 Route de Cessenon";"34360";Prades-sur-Vernazobre;France;"06.81.16.95.70";"06.83.54.51.54";domicile;false;9;2016;STI2D;SIN;2016;;;;;"0680034T";Lycée Louis-Armand;Mulhouse;"68"
195;Guillot;Théo;M;1998-06-28;Montpellier;Hérault;France;théo.guillot@etu.umontpellier.fr;théo.guillot@gmail.com;"4 Rue Droite";"34270";Les Matelles;France;"06.15.53.28.86";"06.84.72.44.74";domicile;false;33;2016;S;SVT/ISN;2016;11.665;14.89;;;"9741185V";Lycée Le Verger;Sainte-Marie;"974"
112;Gauthier;Baptiste;M;1997-07-26;Montpellier;Hérault;France;baptiste.gauthier@etu.umontpellier.fr;baptiste.gauthier@gmail.com;"97 Rue des Arbousiers";"34370";Maraussan;France;"06.08.42.87.83";"06.33.29.75.74";domicile;false;34;2016;S;;2015;13.1667;13.86;;;"0341143H";Polytech Montpellier;Montpellier;"34"
113;Buisson;Noah;M;1997-02-03;Montpellier;Hérault;France;noah.buisson@etu.umontpellier.fr;noah.buisson@gmail.com;"23 Rue de Rome";"34300";Agde;France;"06.04.04.38.94";"06.91.55.32.96";domicile;false;35;2016;S;;2015;10.8667;11.16;;;"0942095I";EPITA - cycle international;Le Kremlin-Bicêtre;"94"
114;Maillet;Yohan;M;1999-09-13;Montpellier;Hérault;France;yohan.maillet@etu.umontpellier.fr;yohan.maillet@gmail.com;"200 Chemin du Pioch-Pelat";"34170";Castelnau-le-Lez;France;"06.41.79.70.76";"06.68.32.85.11";domicile;false;36;2016;STI2D;SIN;2016;;;;;"0300026R";Lycée Dhuoda;Nîmes;"30"
209;Pons;Nolan;M;1998-06-11;Montpellier;Hérault;France;nolan.pons@etu.umontpellier.fr;nolan.pons@gmail.com;"10 Rue Henri Martin";"34500";Béziers;France;"06.69.94.02.60";"06.73.57.08.86";domicile;false;38;2016;S;SI/ISN;2016;12.96;13.71;;;"0342090M";Lycée Victor Hugo;Lunel;"34"
116;Tran;Diego;M;1998-09-09;Montpellier;Hérault;France;diego.tran@etu.umontpellier.fr;diego.tran@gmail.com;"11 Lotissement les Terrasses du Canal";"34310";Capestang;France;"06.87.16.39.98";"06.49.01.23.96";domicile;true;11;2016;S;SI/MATHS;2016;12.5;12.57;;;"0340042L";Lycée Jean Mermoz;Montpellier;"34"
111;Jourdain;Gilbert;M;1998-06-05;Montpellier;Hérault;France;gilbert.jourdain@etu.umontpellier.fr;gilbert.jourdain@gmail.com;"275 Rue des Condamines";"34570";Pignan;France;"06.55.38.21.31";"06.89.52.90.03";domicile;false;12;2016;S;SVT/PC;2016;12.855;10.97;;;"0341736C";Lycée Jean Monnet;Montpellier;"34"
117;Grenier;Gabin;M;1998-11-18;Montpellier;Hérault;France;gabin.grenier@etu.umontpellier.fr;gabin.grenier@gmail.com;"31 Avenue de Béziers";"34620";Puisserguier;France;"06.06.11.16.78";"06.81.59.52.50";domicile;true;39;2016;S;SVT/MATHS;2016;11.15;13.0;;;"0342066L";Lycée Jean Jaurès;Saint-Clément-de-Rivière;"34"
119;Blondel;Nolan;M;1998-04-30;Montpellier;Hérault;France;nolan.blondel@etu.umontpellier.fr;nolan.blondel@gmail.com;"58 Rue des Jasses";"34800";Clermont-l'Hérault;France;"06.49.89.89.16";"06.35.52.38.95";domicile;true;40;2016;STI2D;SIN;2016;;;;;"0300125Y";Lycée De La Salle;Alès;"30"
210;Comte;Kylian;M;1998-07-03;Montpellier;Hérault;France;kylian.comte@etu.umontpellier.fr;kylian.comte@gmail.com;"68 Rue des Lauriers Roses";"34340";Marseillan;France;"06.38.41.07.10";"06.52.02.08.51";domicile;true;42;2016;STI2D;SIN;2016;;;;;"0110023R";Lycée polyvalent Louise Michel;Narbonne;"11"
121;Tournier;Corentin;M;1995-05-17;Montpellier;Hérault;France;corentin.tournier@etu.umontpellier.fr;corentin.tournier@gmail.com;"3 Impasse des Saules";"34360";Berlou;France;"06.77.26.22.58";"06.38.49.54.48";domicile;false;43;2016;S;;2014;12.7333;14.18;;;"0341143H";Polytech Montpellier;Montpellier;"34"
122;Jacques;Jules;M;1998-09-02;Montpellier;Hérault;France;jules.jacques@etu.umontpellier.fr;jules.jacques@gmail.com;"2605 Avenue des Orchidées";"34980";Saint-Clément-de-Rivière;France;"06.38.33.94.64";"06.67.85.70.52";domicile;true;44;2016;ES;MATHS;2016;;;;;"0340038G";Lycée Joffre;Montpellier;"34"
123;Gautier;Erwan;M;1998-08-20;Montpellier;Hérault;France;erwan.gautier@etu.umontpellier.fr;erwan.gautier@gmail.com;"10 Rue Léopold Vabre";"34500";Béziers;France;"06.96.91.76.60";"06.33.35.16.02";domicile;true;45;2016;S;SVT/MATHS;2016;12.095;13.57;;;"0660021P";Lycée Charles Renouvier;Prades;"66"
43;Marchand;Agathe;F;2000-03-09;Montpellier;Hérault;France;agathe.marchand@etu.umontpellier.fr;famille.marchand@etu.umontpellier.fr;"45 rue des amortissements";"83990";Saint-Tropez;France;"07.65.98.54.95";;parents;false;329;2018;S;;;;;;;;;;
377;Monier;Tristan;M;2001-07-11;Montpellier;Hérault;France;tristan.monier@etu.umontpellier.fr;tristan.monier@gmail.com;"400 Chemin de la Montmorencette";"34200";Sète;France;"06.98.36.63.91";"06.21.39.61.74";domicile;false;296;2018;S;;;;;;;;;;
406;Granger;Dorian;M;2000-06-19;Montpellier;Hérault;France;dorian.granger@etu.umontpellier.fr;famille.granger@etu.umontpellier.fr;"2 camo de la independencia";"17600";Figueras;Catalogne;+34798698695;"";parents;false;369;2018;S;;;;;;;;;;
529;Chretien;Aaron;M;2001-12-10;Montpellier;Hérault;France;aaron.chretien@etu.umontpellier.fr;familia.chretien@etu.umontpellier.fr;"95 avenida TitiCaca";"0201";La Paz;Bolivie;+591698758486;"";parents;false;499;2019;TI2D;;;15.0;16.0;17.0;14.0;;;Avignon;
215;Grosjean;Timéo;M;1998-11-12;Montpellier;Hérault;France;timéo.grosjean@etu.umontpellier.fr;timéo.grosjean@gmail.com;"16 Impasse des Grives";"34300";Agde;France;"06.42.34.11.99";"06.86.89.74.68";domicile;false;15;2016;S;SI/ISN;2016;11.815;13.31;;;"0660059F";Lycée Notre-Dame De Bon Secours;Perpignan;"66"
126;Briand;Mael;M;1999-04-16;Montpellier;Hérault;France;mael.briand@etu.umontpellier.fr;mael.briand@gmail.com;"95 Route d'Assignan";"34360";Saint-Chinian;France;"06.91.87.59.19";"06.71.72.89.53";domicile;false;47;2016;S;SVT/PC;2016;12.265;13.1;;;"0840026X";Lycée de l'Arc;Orange;"84"
118;Bigot;Louis;M;1999-03-19;Montpellier;Hérault;France;louis.bigot@etu.umontpellier.fr;louis.bigot@gmail.com;"13 Rue du Planel";"34220";Saint-Pons-de-Thomières;France;"06.75.90.55.97";"06.23.62.38.89";domicile;false;13;2016;S;SVT/MATHS;2016;11.0;12.15;;;"0340038G";Lycée Joffre;Montpellier;"34"
128;Maillet;Baptiste;M;1997-01-14;Montpellier;Hérault;France;baptiste.maillet@etu.umontpellier.fr;baptiste.maillet@gmail.com;"16 Route de Saint Jean Coulouma";"34360";Pardailhan;France;"06.61.89.30.77";"06.95.11.95.49";domicile;false;49;2016;S;;2015;;14.0;;;"0340076Y";Lycée Irene et Frederic Joliot Curie;Sète;"34"
130;Zimmermann;Mathis;M;1998-02-08;Montpellier;Hérault;France;mathis.zimmermann@etu.umontpellier.fr;mathis.zimmermann@gmail.com;"7 Allée Jean de la Bruyère";"34725";Saint-André-de-Sangonis;France;"06.71.00.35.41";"06.81.10.06.39";domicile;false;51;2016;S;SVT/ISN;2016;14.0;15.39;;;"0340059E";Lycée Jean Moulin;Pézenas;"34"
131;Simon;Antonin;M;1998-04-11;Montpellier;Hérault;France;antonin.simon@etu.umontpellier.fr;antonin.simon@gmail.com;"13 Rue de Font-Ségugne";"34090";Montpellier;France;"06.21.92.47.41";"06.88.64.38.65";domicile;false;52;2016;S;SVT/ISN;2016;9.5;13.78;;;"0300950V";Lycée Albert EINSTEIN;Bagnols-sur-Cèze;"30"
214;Gilles;Robin;M;1993-09-22;Montpellier;Hérault;France;robin.gilles@etu.umontpellier.fr;robin.gilles@gmail.com;"81 Rue Guillaume Janvier";"34070";Montpellier;France;"06.16.63.05.26";"06.52.61.85.82";domicile;false;14;2016;S;SVT/SVT;2016;13.55;11.1;;;"0300027S";Lycée Hemingway - De La Camargue;Nîmes;"30"
127;Guillet;Grégory;M;1999-03-03;Montpellier;Hérault;France;grégory.guillet@etu.umontpellier.fr;grégory.guillet@gmail.com;"26 Chemin des Pins";"34170";Castelnau-le-Lez;France;"06.27.08.64.34";"06.84.29.13.93";domicile;false;16;2016;S;SVT/ISN;2016;10.0;15.73;;;"0340038G";Lycée Joffre;Montpellier;"34"
133;Cordier;Félix;M;1997-02-21;Montpellier;Hérault;France;félix.cordier@etu.umontpellier.fr;félix.cordier@gmail.com;"29 Rue du Vieux Château";"34600";Faugères;France;"06.04.58.01.64";"06.52.54.89.21";domicile;false;136;2016;S;;2015;11.5;13.42;;;"0342321N";Université de Montpellier;Montpellier;"34"
135;Roussel;Thibault;M;1998-08-09;Montpellier;Hérault;France;thibault.roussel@etu.umontpellier.fr;thibault.roussel@gmail.com;"31 Plan des Hirondelles";"34970";Lattes;France;"06.37.90.96.66";"06.82.60.62.02";domicile;false;53;2016;S;SVT/ISN;2016;13.0;12.05;;;"0340039H";Lycée Georges Clemenceau;Montpellier;"34"
136;Lacombe;Tristan;M;1997-02-22;Montpellier;Hérault;France;tristan.lacombe@etu.umontpellier.fr;tristan.lacombe@gmail.com;"166 Rue Jean Thuile";"34090";Montpellier;France;"06.20.34.59.61";"06.40.51.77.42";domicile;true;119;2016;S;;2015;13.15;13.31;;;"0342321N";Université de Montpellier;Montpellier;"34"
155;Levy;Enzo;M;1997-10-24;Montpellier;Hérault;France;enzo.levy@etu.umontpellier.fr;enzo.levy@gmail.com;"8 Rue Jeanne d'Arc";"34150";Gignac;France;"06.28.41.20.54";"06.07.17.73.94";domicile;false;114;2016;S;SVT/PC;2016;17.25;11.6;;;"0301552Z";Lycée Philippe Lamour;Nîmes;"30"
138;Lacoste;Yanis;M;1997-04-05;Montpellier;Hérault;France;yanis.lacoste@etu.umontpellier.fr;yanis.lacoste@gmail.com;"20 Route de Sommières";"34160";Campagne;France;"06.86.17.10.72";"06.27.35.72.80";domicile;true;137;2016;S;;2015;12.1667;14.0;;;"0840003X";Lycée Frédéric Mistral;Avignon;"84"
156;Dupond;Titouan;M;1997-08-03;Montpellier;Hérault;France;titouan.dupond@etu.umontpellier.fr;titouan.dupond@gmail.com;"375 Lotissement Les Oliviers";"34570";Murviel-lès-Montpellier;France;"06.94.48.14.52";"06.72.62.05.80";domicile;true;82;2016;S;;2015;11.5;12.02;;;"0261324Y";ESISAR Valence;Valence;"26"
153;Maillard;Evan;M;1996-09-28;Montpellier;Hérault;France;evan.maillard@etu.umontpellier.fr;evan.maillard@gmail.com;"6 Impasse des Jujubiers";"34720";Caux;France;"06.42.63.42.69";"06.47.98.83.05";domicile;false;71;2016;S;;2014;10.6333;12.6;;;"0942095S";EPITA;Le Kremlin-Bicêtre;"94"
139;Georges;Noah;M;1998-04-25;Montpellier;Hérault;France;noah.georges@etu.umontpellier.fr;noah.georges@gmail.com;"30 Rue Alfred de Musset";"34760";Boujan-sur-Libron;France;"06.07.45.96.38";"06.49.39.56.99";domicile;false;72;2016;S;SI/ISN;2016;12.34;14.15;;;"0300080Z";Lycée Emmanuel d'Alzon;Nîmes;"30"
217;Blondeau;Mael;M;1999-02-02;Montpellier;Hérault;France;mael.blondeau@etu.umontpellier.fr;mael.blondeau@gmail.com;"18 Boulevard Voltaire";"34410";Sérignan;France;"06.21.19.06.26";"06.80.47.18.43";domicile;false;84;2016;S;SI/ISN;2016;16.7;15.36;;;"0300125Y";Lycée De La Salle;Alès;"30"
141;Roger;Kylian;M;1997-11-24;Montpellier;Hérault;France;kylian.roger@etu.umontpellier.fr;kylian.roger@gmail.com;"10 Chemin Mathieu de Dombasle";"34490";Lignan-sur-Orb;France;"06.45.19.50.43";"06.20.96.61.99";domicile;false;73;2016;STI2D;SIN;2016;;;;;"0050003B";Lycée D'Altitude;Briançon;"5"
142;Julien;Fabrice;M;1998-12-28;Montpellier;Hérault;France;fabrice.julien@etu.umontpellier.fr;fabrice.julien@gmail.com;"1 Rue du Pradas";"34790";Grabels;France;"06.56.78.98.14";"06.42.63.38.07";domicile;false;74;2016;STI2D;SIN;2016;;;;;"9840023C";Lycée de Taaone;Pirae;"987"
143;Martinez;Colin;M;1998-06-03;Montpellier;Hérault;France;colin.martinez@etu.umontpellier.fr;colin.martinez@gmail.com;"42R Residence Mas de la Plage";"34420";Portiragnes;France;"06.82.21.42.47";"06.23.42.65.68";domicile;true;138;2016;S;SVT/PC;2016;14.905;13.21;;;"0341736C";Lycée Jean Monnet;Montpellier;"34"
145;Doucet;Antonin;M;1998-04-03;Montpellier;Hérault;France;antonin.doucet@etu.umontpellier.fr;antonin.doucet@gmail.com;"8 Rue Titus";"34170";Castelnau-le-Lez;France;"06.43.36.27.21";"06.89.71.48.73";domicile;false;85;2016;STI2D;SIN;2016;;;;;"0341794R";Lycée Jean-Francois Champollion;Lattes;"34"
197;Olivier;Colin;M;1998-03-31;Montpellier;Hérault;France;colin.olivier@etu.umontpellier.fr;colin.olivier@gmail.com;"27 Rue Édouard Adam";"34340";Marseillan;France;"06.67.81.28.97";"06.97.13.69.10";domicile;false;154;2016;ES;MATHS;2016;;;;;"4210001N";Lycée Français International Marcel Pagnol;Assomption;"99"
218;Grosjean;Diego;M;1994-03-10;Montpellier;Hérault;France;diego.grosjean@etu.umontpellier.fr;diego.grosjean@gmail.com;"14 Rue des Anémones";"34000";Montpellier;France;"06.51.29.02.07";"06.28.79.09.05";domicile;true;86;2016;;;2012;;;;;"0333298F";Université de Bordeaux - Bordeaux Métropole;Bordeaux;"33"
199;Robert;Victor;M;1997-08-21;Montpellier;Hérault;France;victor.robert@etu.umontpellier.fr;victor.robert@gmail.com;"4 Carriera Lou Perdigal ( Perdrix )";"34350";Valras-Plage;France;"06.20.99.68.10";"06.04.07.37.70";domicile;true;87;2016;S;SVT/ISN;2016;11.25;11.44;;;"0130010R";Lycée Montmajour;Arles;"13"
207;Imbert;Dorian;M;1998-08-26;Montpellier;Hérault;France;dorian.imbert@etu.umontpellier.fr;dorian.imbert@gmail.com;"111 Rue du Canneau";"34400";Lunel;France;"06.93.45.89.27";"06.63.47.25.95";domicile;false;155;2016;S;SVT/MATHS;2016;13.25;10.13;;;"0290034E";Lycée Jean-Marie Le Bris;Douarnenez;"29"
200;Jacquet;Amine;M;1998-04-17;Montpellier;Hérault;France;amine.jacquet@etu.umontpellier.fr;amine.jacquet@gmail.com;"24 Rue du Pompon";"34260";Camplong;France;"06.20.14.61.55";"06.84.61.29.67";domicile;false;88;2016;STI2D;SIN;2016;;;;;"0342090M";Lycée Victor Hugo;Lunel;"34"
201;Favier;Martin;M;1998-03-18;Montpellier;Hérault;France;martin.favier@etu.umontpellier.fr;martin.favier@gmail.com;"7BIS Rue du Puits";"34290";Coulobres;France;"06.21.65.88.06";"06.52.75.56.10";domicile;true;89;2016;S;SI/ISN;2016;12.7;15.26;;;"0480009Z";Lycée Emile Peytavin;Mende;"48"
202;Leroux;Evan;M;1998-03-27;Montpellier;Hérault;France;evan.leroux@etu.umontpellier.fr;evan.leroux@gmail.com;"14 Rue de Beausoleil";"34300";Agde;France;"06.92.35.26.94";"06.18.79.80.29";domicile;false;91;2016;S;SVT/ISN;2016;11.0;16.05;;;"0300950V";Lycée Albert EINSTEIN;Bagnols-sur-Cèze;"30"
204;Grand;Timothée;M;1997-01-28;Montpellier;Hérault;France;timothée.grand@etu.umontpellier.fr;timothée.grand@gmail.com;"101 Chemin Lou Cantou";"34190";Brissac;France;"06.02.09.79.14";"06.98.01.62.62";domicile;false;92;2016;ES;;2015;;;;;"0300023M";Lycée Camus;;"30"
203;Thibault;Corentin;M;1998-11-12;Montpellier;Hérault;France;corentin.thibault@etu.umontpellier.fr;corentin.thibault@gmail.com;"7 Quai de la Vène";"34560";Montbazin;France;"06.17.61.57.60";"06.03.34.21.58";domicile;false;93;2016;S;SVT/MATHS;2016;9.75;14.05;;;"0340075X";Lycée Paul Valery;Sète;"34"
161;Lopez;Amaury;M;1997-01-10;Montpellier;Hérault;France;amaury.lopez@etu.umontpellier.fr;amaury.lopez@gmail.com;"28 Chemin du Champ Juvénal";"34170";Castelnau-le-Lez;France;"06.18.08.50.76";"06.46.88.69.24";domicile;false;94;2016;S;;2015;13.7;14.18;;;"0342321N";Université de Montpellier;Montpellier;"34"
162;Salaun;Diego;M;1997-05-31;Montpellier;Hérault;France;diego.salaun@etu.umontpellier.fr;diego.salaun@gmail.com;"37BIS Avenue de l'Étang du Grec";"34250";Palavas-les-Flots;France;"06.37.47.70.70";"06.26.13.16.34";domicile;false;95;2016;S;SVT/MATHS;2016;17.25;12.63;;;"0300052U";Lycée André Chamson;Le Vigan;"30"
14;Jamet;Bienvenue;F;1997-08-25;Montpellier;Hérault;France;bienvenue.jamet@etu.umontpellier.fr;bienvenue.jamet@gmail.com;"961 Avenue de Lespignan";"34440";Nissan-lez-Enserune;France;"06.96.32.69.60";"06.12.91.64.70";domicile;false;76;2016;STI2D;SIN;;;13.3;;;"0660021P";Lycée Charles Renouvier;Prades;"66"
160;Chatelain;Mohamed;M;1998-04-04;Montpellier;Hérault;France;mohamed.chatelain@etu.umontpellier.fr;mohamed.chatelain@gmail.com;"5 Rue du Barry";"34220";Saint-Pons-de-Thomières;France;"06.43.61.86.67";"06.77.20.36.35";domicile;false;97;2016;S;SVT/ISN;2016;10.1;14.0;;;"3220001B";Lycée Dominique Savio;Douala;"99"
374;Gaillard;Titouan;M;2000-09-16;Montpellier;Hérault;France;titouan.gaillard@etu.umontpellier.fr;titouan.gaillard@gmail.com;"2 Place du Castillet";"34350";Vendres;France;"06.78.61.16.23";"06.08.20.55.92";domicile;false;297;2018;S;;;;;;;;;;
68;Besson;Rosalie;F;2001-10-17;Montpellier;Hérault;France;rosalie.besson@etu.umontpellier.fr;rosalie.besson@gmail.com;"1 Place de France";"34000";Montpellier;France;"06.09.45.83.08";"06.37.67.37.55";domicile;false;534;2019;S;SCIENCES DE LA VIE ET DE LA TERRE;;10.0;12.0;16.0;8.0;;;Narbonne;
